p.num,V8,V9,V10,uid,custom1,data,gc,term,Q39,age,happyt1,partyID,quintile,gender,income,ideology,social.issues,economic.issues
R_2lXdaB99SlK2Gah,7/23/2015,7/23/2015, , , , , , , , ,72,3,17,1, ,6,6,6
R_0eL7R7GSiPHLTh3,7/23/2015,7/23/2015, , , , , , , ,65,75,3,2,2, , , , 
R_1Oi1DviLQgCL1c1,7/23/2015,7/23/2015, , , , , , , ,48,95,3,2,2, ,5,3,6
R_5AoBA47EHnHnoS9,7/23/2015,7/23/2015, , , , , , , , ,95,3,3,2, , , , 
R_25IgPjDWvE65vwx,7/23/2015,7/23/2015, , , , , , , ,57,56,1,1,2, ,5,3,2
R_7PcWp4txaaMN5Fr,7/23/2015,7/23/2015, , , , , , , ,37,12,2,1,1, , , , 
R_etSpsc7RH36WT8p,7/23/2015,7/23/2015, , , , , , , ,63,38,1,1,1, ,2,2,2
R_cRTNcqcSptnCkBL,7/23/2015,7/23/2015, , , , , , , ,26,72,1,17,2, ,3,3,3
R_0SNNPgAOCyqBFwV,7/23/2015,7/23/2015, , , , , , , ,66,53,1,1,2, ,4,4,4
R_6G5UVsnaNVBmq8Z,7/23/2015,7/23/2015, , , , , , , ,26,37,2,3,2, , , , 
R_6VRGUKHcDzGOE5f,7/23/2015,7/23/2015, , , , , , , ,50,92,1,4,1, , , , 
R_6rmLgnH88bhUZH7,7/23/2015,7/23/2015, , , , , , , ,48,53,2,17,1, ,7,6,7
R_6zDxByyynEtqeyx,7/23/2015,7/23/2015, , , , , , , ,22,52,2,1,2, , , , 
R_3FeyHZQMkRC4ndP,7/23/2015,7/23/2015, , , , , , , ,45,52,1,17,2, ,3,3,3
R_cCKtd66vv0TRxjL,7/23/2015,7/23/2015, , , , , , , ,25,54,1,2,2, ,2,2,2
R_b2zPqarWx1M1KPH,7/23/2015,7/23/2015, , , , , , , , ,8,2,1,1, , , , 
R_71Wy2BCAmsOnx1H,7/23/2015,7/23/2015, , , , , , , ,22,73,2,1,2, ,2,2,6
R_51DD6LMFRYFqsN7,7/23/2015,7/23/2015, , , , , , , ,40,19,2,17,2, ,4,9,9
R_50lfyWZbVFsOwgB,7/23/2015,7/23/2015, , , , , , , ,27,49,2,3,2, ,4,4,4
R_39FQDwx5T8COMPH,7/23/2015,7/23/2015, , , , , , , ,57,60,2,17,2, , , , 
R_cMuCGsROT3G83Y1,7/23/2015,7/23/2015, , , , , , , ,60,49,2,1,1, , , , 
R_eCK21FHX28ruKsl,7/23/2015,7/23/2015, , , , , , , ,47,73,1,17,2, , , , 
R_5C2wc9dXQ0vtiap,7/23/2015,7/23/2015, , , , , , , ,24,38,1,4,2, , , , 
R_81vnmlntJCdv85D,7/23/2015,7/23/2015, , , , , , , ,72,71,2,3,2, ,7,7,7
R_1GrDh21SG7wo6i1,7/23/2015,7/23/2015, , , , , , , ,49,40,2,1,2, , , , 
R_bgylWSqRobpjpVb,7/23/2015,7/23/2015, , , , , , , ,34,52,2,4,1, , , , 
R_0pKjK2EXXJjeI17,7/23/2015,7/23/2015, , , , , , , , ,67,2,1,2, , , , 
R_0p6GkPwylR8d5TT,7/23/2015,7/23/2015, , , , , , , ,32,31,2,1,1, ,10,1,1
R_3K0AlAACpvzvaeN,7/23/2015,7/23/2015, , , , , , , ,34,52,2,17,2, , , , 
R_a9pMgUkuinWh4r3,7/23/2015,7/23/2015, , , , , , , ,41,72,2,4,2, ,7,7,6
R_3JdVWRdnwzliitD,7/23/2015,7/23/2015, , , , , , , ,57,34,1,4,1, , , , 
R_5mpKqZh9PzsYupf,7/23/2015,7/23/2015, , , , , , , ,61,78,1,1,2, , , , 
R_5hAMwnDNnFGzdyZ,7/23/2015,7/23/2015, , , , , , , ,72,53,2,1,2, ,4,4,4
R_bgvDR9qbCdtKfT7,7/23/2015,7/23/2015, , , , , , , ,44,85,2,3,2, , , , 
R_5grvSDxqrLDF6G9,7/23/2015,7/23/2015, , , , , , , ,32,46,1,4,1, , , , 
R_ewHiZJmzKM0T2oR,7/23/2015,7/23/2015, , , , , , , ,47,27,2,1,2, , , , 
R_4VI9NHRBqiBYRX7,7/23/2015,7/23/2015, , , , , , , ,49,50,1,17,1, ,2,2,2
R_7ZHbHFOxXXIe5RX,7/23/2015,7/23/2015, , , , , , , , ,51,2,2,2, , , , 
R_d57Woh9qplnDFk1,7/23/2015,7/23/2015, , , , , , , ,80,65,2,3,2, ,7,6,6
R_eG2HXw5NX0waswR,7/23/2015,7/23/2015, , , , , , , ,55,53,1,1,2, ,8,8,8
R_41UdkBABa6imYId,7/23/2015,7/23/2015, , , , , , , ,77,82,1,3,2, ,2,1,2
R_bQT19bLa1zAYXBP,7/23/2015,7/23/2015, , , , , , , ,41,56,2,2,2, ,4,4,4
R_cCFYc4rzx3vJVY1,7/23/2015,7/23/2015, , , , , , , ,38,54,2,4,2, ,6,6,6
R_24sH6KQomjwepSJ,7/23/2015,7/23/2015, , , , , , , ,72,81,1,1,2, ,2,1,4
R_eLHG1Phhz7vBAQ5,7/23/2015,7/23/2015, , , , , , , ,67,67,1,17,1, ,2,2,2
R_6rE42anbOexMpcV,7/23/2015,7/23/2015, , , , , , , ,59,52,2,3,2, ,6,6,6
R_1Zgf8x4rtsqLB9H,7/23/2015,7/23/2015, , , , , , , ,24,96,2,3,2, , , , 
R_3rDhNB6Nr3if9jf,7/23/2015,7/23/2015, , , , , , , ,49,62,1,4,2, ,6,3,2
R_cC1ZfSzwAj7lwqx,7/23/2015,7/23/2015, , , , , , , ,33,46,2,1,2, ,8,8,8
R_74b8e6pREUftSgl,7/23/2015,7/23/2015, , , , , , , ,63,74,1,3,2, ,4,4,4
R_2tcWKGB5LYqc657,7/23/2015,7/23/2015, , , , , , , ,52,8,2,2,2, , , , 
R_e2SwirXfevKJf25,7/23/2015,7/23/2015, , , , , , , ,57,29,1,1,2, ,2,2,2
R_9YpsvSt3yrCpSu1,7/23/2015,7/23/2015, , , , , , , ,71,4,1,3,2, ,2,2,2
R_dcmBDjYvUZIawmN,7/23/2015,7/23/2015, , , , , , , ,43,58,2,1,2, ,4,4,4
R_4Paxn6YSfskBhfn,7/23/2015,7/23/2015, , , , , , , ,31,71,2,4,2, , , , 
R_6heI8pdpbnzrLk9,7/23/2015,7/23/2015, , , , , , , ,24,70,2,3,1, ,8,8,8
R_elJLxgZUpOPZNpX,7/23/2015,7/23/2015, , , , , , , ,36,70,3,4,2, ,6,6,7
R_e9UOk6P0miB81x3,7/23/2015,7/23/2015, , , , , , , ,63,52,3,2,2, ,7,7,7
R_4UyTZfLSAA6Aae9,7/23/2015,7/23/2015, , , , , , , ,40,30,2,3,2, , , , 
R_5tpaWU4MPvgUuA5,7/23/2015,7/23/2015, , , , , , , ,54,30,1,1,1, , , , 
R_5pgU3efpoM5y1PT,7/23/2015,7/23/2015, , , , , , , ,28,25,3,3,1, , , , 
R_6RID0jwkwBcjIWh,7/23/2015,7/23/2015, , , , , , , ,54,49,2,1,1, , , , 
R_cYLAOwAKu1cG461,7/23/2015,7/23/2015, , , , , , , ,67,74,2,17,1, ,6,6,7
R_bDzGLo3eGts7bQF,7/23/2015,7/23/2015, , , , , , , ,34,55,2,3,1, , , , 
R_cGTUL83FDl6HI45,7/23/2015,7/23/2015, , , , , , , ,61,69,1,1,2, ,3,3,3
R_3Q06E54OHiWUSl7,7/23/2015,7/23/2015, , , , , , , ,51,21,3,2,2, ,4,4,4
R_bwMvvI0wZzqxc2N,7/23/2015,7/23/2015, , , , , , , ,49,53,1,1,2, ,5,4,4
R_3rzHCjyJ78j4Sln,7/23/2015,7/23/2015, , , , , , , ,54,49,1,2,2, ,2,2,5
R_0H4GDGbinnGUhGB,7/23/2015,7/23/2015, , , , , , , ,59,71,3,1,2, , , , 
R_ex1w7u7Qe0NpmKh,7/23/2015,7/23/2015, , , , , , , ,45,12,1,3,2, ,3,3,3
R_5gMcfTcbpMaQOQR,7/23/2015,7/23/2015, , , , , , , ,56,73,2,3,1, ,7,7,7
R_3qQdROZ4sD3aCEd,7/23/2015,7/23/2015, , , , , , , ,45,44,1,4,2, ,2,2,3
R_d6HG87UrZT8dGQt,7/23/2015,7/23/2015, , , , , , , ,79,92,3,3,1, , , , 
R_021gPC6vbBaN9D7,7/23/2015,7/23/2015, , , , , , , ,31,50,2,3,2, , , , 
R_0xIl060LIvVY1sV,7/23/2015,7/23/2015, , , , , , , ,32,86,1,4,1, , , , 
R_3Dzg09bwvx6U2oZ,7/23/2015,7/23/2015, , , , , , , ,46,61,1,3,2, ,3,3,5
R_eERKgCRl6Kv2bgF,7/23/2015,7/23/2015, , , , , , , ,31,51,1,3,2, ,2,2,2
R_br5wSnkMcROwmz3,7/23/2015,7/23/2015, , , , , , , ,30,100,1,4,1, , , , 
R_8DnhSVXSJDXJcmF,7/23/2015,7/23/2015, , , , , , , ,69,30,3,4,2, ,7,7,7
R_4NPnatjEbRRATpr,7/23/2015,7/23/2015, , , , , , , ,62,52,2,1,1, ,6,6,7
R_eDkr6C7JnzmXerH,7/23/2015,7/25/2015, , , , , , , ,53,12,2,2,2, , , , 
R_9BKvuyCB8k7hFEp,7/23/2015,7/23/2015, , , , , , , ,25,33,2,2,2, ,2,2,2
R_9mI6pg3oUCsZvrT,7/23/2015,7/23/2015, , , , , , , ,27,59,1,3,2, , , , 
R_3w3fnfHA6SxhWpn,7/23/2015,7/23/2015, , , , , , , ,79,71,1,2,1, ,2,2,3
R_eQi3vTGAcmTmAMB,7/23/2015,7/23/2015, , , , , , , ,31,49,2,2,2, ,4,5,4
R_28XOIp8nPJ0SUPH,7/23/2015,7/23/2015, , , , , , , ,65,50,1,3,2, ,2,1,2
R_09hfw1321uQ9cQl,7/23/2015,7/23/2015, , , , , , , ,48,40,2,1,2, , , , 
R_5cI2leHLQhDkJuJ,7/23/2015,7/23/2015, , , , , , , ,45,49,1,1,2, ,4,5,4
R_2hoNnGYUTmFRkgZ,7/23/2015,7/23/2015, , , , , , , ,45,50,1,2,2, , , , 
R_03ewSXUsM0qTuNn,7/23/2015,7/23/2015, , , , , , , ,62,30,1,3,2, ,2,2,2
R_1IgBcEqUZkrL6Ch,7/23/2015,7/23/2015, , , , , , , ,37,31,3,2,2, ,6,6,6
R_esxpVngmaJL6T3v,7/23/2015,7/23/2015, , , , , , , ,60,50,1,2,2, ,4,3,4
R_0d0VmMVDtjfpmuN,7/23/2015,7/23/2015, , , , , , , ,30,86,3,17,2, , , , 
R_9FaIP3LpULrxlvT,7/23/2015,7/23/2015, , , , , , , ,71,76,3,2,2, ,7,7,7
R_9uettYrEiiImoDP,7/23/2015,7/23/2015, , , , , , , ,64,47,2,4,2, ,4,4,4
R_6V6SBFEju7d5N3f,7/23/2015,7/23/2015, , , , , , , ,45,53,1,17,2, ,4,3,3
R_79hJKeQsiPP6gF7,7/23/2015,7/23/2015, , , , , , , ,58,100,2,4,2, ,4,4,4
R_0vwivf0XLFDUnpr,7/23/2015,7/23/2015, , , , , , , ,62,50,3,1,2, , , , 
R_3shkdKIZ7zu2Z2R,7/23/2015,7/23/2015, , , , , , , ,43,70,3,3,2, , , , 
R_8cPMRhW0O24Bpn7,7/23/2015,7/23/2015, , , , , , , ,55,84,2,3,2, ,6,6,5
R_5mXLNsxjnXjDo0t,7/23/2015,7/23/2015, , , , , , , ,64,5,1,2,2, , , , 
R_1Xp7mTF7qIO6B9z,7/23/2015,7/23/2015, , , , , , , ,26,63,2,2,2, , , , 
R_5cFcwPwazGfXpKR,7/23/2015,7/23/2015, , , , , , , ,58,10,3,2,2, ,6,6,6
R_1GGJiE6xQm6jrmd,7/23/2015,7/23/2015, , , , , , , ,52,0,2,2,1, ,5,4,5
R_dolpxOz3IRHxk21,7/23/2015,7/23/2015, , , , , , , ,47,72,2,2,2, ,4,4,4
R_eF1VwJ61KHYaUL3,7/23/2015,7/23/2015, , , , , , , , ,77,2,17,2, , , , 
R_bEHRfE2VPqVAWcl,7/23/2015,7/23/2015, , , , , , , ,52,57,1,4,1, , , , 
R_0ihjrMNRH2idtd3,7/23/2015,7/23/2015, , , , , , , ,31,49,2,3,1, , , , 
R_d1faxhSgFqcSjVH,7/23/2015,7/23/2015, , , , , , , ,49,73,2,1,2, ,4,4,4
R_232u9b974q3dOiF,7/23/2015,7/23/2015, , , , , , , ,47,49,3,3,1, ,6,6,7
R_5uS0ZqpeoUfCJRb,7/23/2015,7/23/2015, , , , , , , ,66,42,2,1,2, ,5,5,5
R_9XFQHEBnu6hDQTr,7/23/2015,7/23/2015, , , , , , , ,69,10,1,1,2, , , , 
R_eM2ONEYyZSOG9k9,7/23/2015,7/23/2015, , , , , , , ,55,48,3,1,1, ,5,6,6
R_1NAqgQN7d1TGTQx,7/23/2015,7/23/2015, , , , , , , ,27,37,1,3,2, , , , 
R_4SY6ABd0MyiN6N7,7/23/2015,7/23/2015, , , , , , , ,65,96,3,4,1, ,5,6,5
R_cSKoTeQqCbcTqnP,7/23/2015,7/23/2015, , , , , , , ,69,63,3,2,2, ,7,7,7
R_9Zkz9mNQrNoW1cp,7/23/2015,7/23/2015, , , , , , , ,35,52,3,4,1, ,5,5,6
R_3EPRSvjXyEVEtHD,7/23/2015,7/23/2015, , , , , , , ,58,71,3,4,2, ,7,7,7
R_2gEfxe13w3IjVlj,7/23/2015,7/23/2015, , , , , , , ,50,4,2,2,2, ,8,8,9
R_e8JyhzkS7ayp3a5,7/23/2015,7/23/2015, , , , , , , ,23,100,2,2,1, , , , 
R_6WOwempDunz1MKF,7/23/2015,7/23/2015, , , , , , , ,33,44,1,2,2, ,8,8,8
R_29bw6LqfNdBUz8F,7/23/2015,7/23/2015, , , , , , , ,41,50,2,4,2, ,5,2,7
R_7QFdMG9CO0CLdfn,7/23/2015,7/23/2015, , , , , , , ,56,10,3,3,2, , , , 
R_4NGAmjuyZEy3lMp,7/23/2015,7/23/2015, , , , , , , ,27,72,3,3,1, , , , 
R_b1HMnpHoeCKtf5H,7/23/2015,7/23/2015, , , , , , , ,40,8,2,2,2, ,6,5,4
R_6sarC8v2UpFUWrP,7/23/2015,7/23/2015, , , , , , , ,52,70,2,17,2, ,2,2,3
R_1M4y0qK5QDlfU45,7/23/2015,7/23/2015, , , , , , , ,45,49,2,3,1, ,5,5,6
R_8pR19FQfkJtYI3r,7/23/2015,7/23/2015, , , , , , , ,54,62,3,4,2, , , , 
R_cUWBIfbD0Ifh0gd,7/23/2015,7/23/2015, , , , , , , ,43,72,1,2,1, , , , 
R_b2GkNC2SABCYO2N,7/23/2015,7/23/2015, , , , , , , ,54,52,2,2,2, ,4,8,4
R_6XLbYwaHZFN8Q4t,7/23/2015,7/23/2015, , , , , , , ,56,27,1,2,2, ,2,2,2
R_9phat4Ic9NRdAIl,7/23/2015,7/23/2015, , , , , , , ,56,62,3,3,2, ,4,3,5
R_cI9Oqtta0OV8017,7/23/2015,7/23/2015, , , , , , , ,31,71,2,2,1, , , , 
R_8eTnn7bcaA7PAot,7/23/2015,7/23/2015, , , , , , , ,31,53,3,2,2, ,7,7,7
R_5bPG4XpE7msSHU9,7/23/2015,7/23/2015, , , , , , , ,38,54,3,3,1, , , , 
R_aga7Ze5xHRK8K5D,7/23/2015,7/23/2015, , , , , , , ,35,80,2,2,2, , , , 
R_bmgGoaIrsZekw2V,7/23/2015,7/23/2015, , , , , , , ,53,30,3,4,2, ,5,3,6
R_af0bPEHY1GtJtit,7/23/2015,7/23/2015, , , , , , , ,50,76,3,3,2, ,6,6,6
R_bmfjZ1CYzV3SrnT,7/23/2015,7/23/2015, , , , , , , ,33,54,1,1,2, , , , 
R_e4NhslD1PshkiIR,7/23/2015,7/23/2015, , , , , , , ,64,11,2,1,2, , , , 
R_7OfWMr8zDyjvwvr,7/23/2015,7/23/2015, , , , , , , ,62,52,1,4,1, ,6,5,5
R_5b8lSd1J9HppXy5,7/23/2015,7/23/2015, , , , , , , ,57,72,1,2,2, ,4,4,4
R_d9ZAVsxK8iRamGh,7/23/2015,7/23/2015, , , , , , , ,57,58,1,1,2, ,6,6,6
R_5C7ubotwDK8aJil,7/23/2015,7/23/2015, , , , , , , ,28,2,2,1,2, ,1,1,1
R_0Unq8KPkBNRKTD7,7/23/2015,7/23/2015, , , , , , , ,28,30,1,4,2, ,4,4,4
R_40FPbhYlDUFfrzn,7/23/2015,7/23/2015, , , , , , , ,50,50,1,3,2, ,5,5,5
R_0UH01djd9KlkhP7,7/23/2015,7/23/2015, , , , , , , ,54,30,1,3,2, ,2,2,1
R_2aTVqEWu6CiH2QJ,7/23/2015,7/23/2015, , , , , , , ,35,49,2,3,2, ,5,1,6
R_eOIYugdjeUZymy1,7/23/2015,7/23/2015, , , , , , , ,57,50,1,2,2, ,2,4,2
R_38bD0u2GsGYpkX3,7/23/2015,7/23/2015, , , , , , , ,29,70,3,4,2, , , , 
R_24rjGZy8yOqUqZ7,7/23/2015,7/23/2015, , , , , , , ,58,46,1,1,2, ,4,4,4
R_4ZXTYXt8nP8hbQV,7/23/2015,7/23/2015, , , , , , , ,59,74,1,4,2, ,2,2,2
R_0q8PPZfrtxki1cp,7/23/2015,7/23/2015, , , , , , , ,23,50,1,1,2, , , , 
R_2t2a0YySWJatW7z,7/23/2015,7/23/2015, , , , , , , ,55,62,1,2,2, ,7,7,7
R_3elX3Seb1pElLtr,7/23/2015,7/23/2015, , , , , , , ,53,30,1,1,1, ,2,3,2
R_2mXGB2AEXui4hNP,7/23/2015,7/23/2015, , , , , , , ,59,51,2,3,2, ,5,5,5
R_b72RZmQmf0gWicR,7/23/2015,7/23/2015, , , , , , , ,41,72,3,2,1, , , , 
R_6u0De9OQqDd6l7f,7/23/2015,7/23/2015, , , , , , , ,39,69,3,4,1, ,5,5,4
R_9EL1tuydwEPI6kl,7/23/2015,7/23/2015, , , , , , , ,24,46,1,1,2, , , , 
R_5yDE205LNVwnX25,7/23/2015,7/23/2015, , , , , , , ,65,72,1,1,2, ,2,3,3
R_4Ym2a9C7SrGwsrr,7/23/2015,7/23/2015, , , , , , , ,46,73,3,1,2, , , , 
R_eeV2KXzjJul9fJH,7/23/2015,7/23/2015, , , , , , , ,64,51,3,2,2, , , , 
R_7UGyGyKVsvFXwPz,7/23/2015,7/23/2015, , , , , , , ,45,29,1,1,2, , , , 
R_5AsiFl5Hm6bGouh,7/23/2015,7/23/2015, , , , , , , ,63,37,1,1,1, , , , 
R_eaPagYYmdCmK4o5,7/23/2015,7/23/2015, , , , , , , ,24,39,1,1,2, ,3,2,4
R_bpBqE5AQqfKne5v,7/23/2015,7/23/2015, , , , , , , ,25,96,3,3,2, , , , 
R_cUgxgAzY0qhG2UZ,7/23/2015,7/23/2015, , , , , , , ,30,51,1,4,2, ,1,1,3
R_1YTlLbm58ab8VA9,7/23/2015,7/23/2015, , , , , , , ,58,51,3,4,2, , , , 
R_7QaM5qGz9DQNypD,7/23/2015,7/23/2015, , , , , , , ,63,58,2,3,2, ,4,4,4
R_5bRfIORwAMBQOMZ,7/23/2015,7/23/2015, , , , , , , ,58,28,2,17,2, ,4,4,4
R_3U86bfvIIltaHIx,7/23/2015,7/23/2015, , , , , , , ,30,48,1,1,1, , , , 
R_0kalvl8t5TqkRzD,7/23/2015,7/23/2015, , , , , , , , ,76,2,2,2, ,3,3,3
R_87ieRTwZU2AykHH,7/23/2015,7/23/2015, , , , , , , ,59,71,3,3,2, ,6,6,6
R_d5dT6YdeorkUgsJ,7/23/2015,7/23/2015, , , , , , , ,42,74,1,1,2, , , , 
R_1MTTQn2kzt8wki9,7/23/2015,7/23/2015, , , , , , , ,52,100,3,1,2, ,7,6,6
R_1YuxoUb6is0qYxT,7/23/2015,7/23/2015, , , , , , , ,49,75,1,17,1, ,3,2,4
R_6mtVr3PIgLSBTJX,7/23/2015,7/23/2015, , , , , , , ,32,95,1,3,1, , , , 
R_5orp8beo4jknNuB,7/23/2015,7/23/2015, , , , , , , , ,50,1,3,2, ,2,1,2
R_efmpiNfWq2XZrsp,7/23/2015,7/23/2015, , , , , , , , ,74,3,17,2, ,6,6,6
R_ehZrgRHe8KXDee1,7/23/2015,7/23/2015, , , , , , , ,25,73,1,4,1, , , , 
R_8j4hixFAcN2I2jj,7/23/2015,7/23/2015, , , , , , , ,28,63,2,1,2, , , , 
R_5bcwWcce2dPPXJb,7/23/2015,7/23/2015, , , , , , , ,27,32,2,2,2, , , , 
R_8pOTY4CRdzUwcWV,7/23/2015,7/23/2015, , , , , , , ,35,88,2,4,1, , , , 
R_8oBbd4pHZCz18NL,7/23/2015,7/23/2015, , , , , , , ,42,69,1,2,2, , , , 
R_0CZaAAJtYNeAS5D,7/23/2015,7/23/2015, , , , , , , ,56,30,3,3,2, ,6,6,6
R_1FSMnkyeiqPMHfn,7/23/2015,7/23/2015, , , , , , , ,32,100,1,3,1, , , , 
R_3TYAgdWHv1e53yR,7/23/2015,7/23/2015, , , , , , , ,33,95,1,2,2, , , , 
R_beCZoa55TSW875z,7/23/2015,7/23/2015, , , , , , , ,32,92,2,3,1, , , , 
R_exm10yXuSys65Lf,7/23/2015,7/23/2015, , , , , , , ,32,95,3,4,1, , , , 
R_cIb8XR6BH9T4Tt3,7/23/2015,7/23/2015, , , , , , , ,55,27,3,4,1, ,6,6,5
R_4T6XHvdgFmHdtNX,7/23/2015,7/23/2015, , , , , , , ,62,30,1,2,2, ,4,4,4
R_0wbD6yQbgGbbw0Z,7/23/2015,7/23/2015, , , , , , , ,47,8,3,1,2, , , , 
R_39Ql5gxVS2Naqqx,7/23/2015,7/23/2015, , , , , , , ,26,54,1,2,1, ,4,4,4
R_3QOpXNPCf4Bdecd,7/23/2015,7/23/2015, , , , , , , ,58,6,1,1,2, ,1,1,1
R_9otuixc1rt74SeF,7/23/2015,7/23/2015, , , , , , , ,75,52,2,2,2, ,6,6,6
R_20jkTJTj4BiQAe1,7/23/2015,7/23/2015, , , , , , , ,49,6,2,2,2, ,8,8,8
R_5hFAKbdEqFrtkZn,7/23/2015,7/23/2015, , , , , , , ,49,51,2,3,1, ,4,4,4
R_0PuF0GItj91ns5T,7/23/2015,7/23/2015, , , , , , , ,33,93,1,4,2, , , , 
R_0GOAkJ2RjHZ5X7L,7/23/2015,7/23/2015, , , , , , , ,72,68,2,3,2, ,2,2,2
R_6sdQuU8An6frLmJ,7/23/2015,7/23/2015, , , , , , , ,64,10,1,1,2, , , , 
R_aXZTvS1lYSZz4QR,7/23/2015,7/23/2015, , , , , , , ,67,57,2,4,1, ,4,3,4
R_doEaOCJvCvtyWHz,7/23/2015,7/23/2015, , , , , , , ,76,70,1,3,2, ,4,4,4
R_8w9PoqbhrRKzzyB,7/23/2015,7/23/2015, , , , , , , ,52,76,1,4,2, ,2,3,2
R_eJ5BKKee6hFPAXz,7/23/2015,7/23/2015, , , , , , , , ,82,1,4,1, , , , 
R_3a3eEzsZkNaFSMB,7/23/2015,7/23/2015, , , , , , , ,57,52,3,17,1, , , , 
R_3qQaAw9ZhudSj7T,7/23/2015,7/23/2015, , , , , , , ,65,31,2,2,1, ,5,5,6
R_bkfYQmzgP4ORYI5,7/23/2015,7/23/2015, , , , , , , ,32,50,2,1,2, , , , 
R_0qsc7xmims339FH,7/23/2015,7/23/2015, , , , , , , ,25,73,1,2,2, ,1,1,4
R_0dpNLW1doTDUpUh,7/23/2015,7/23/2015, , , , , , , ,41,89,3,2,2, ,1,4,2
R_2ubUdTX1ti9uwMl,7/23/2015,7/23/2015, , , , , , , ,32,95,2,3,1, , , , 
R_d13Nyc0xJIBn8up,7/23/2015,7/23/2015, , , , , , , ,55,73,2,4,2, ,4,4,4
R_6ult57JKPkiVkqx,7/23/2015,7/23/2015, , , , , , , ,23,67,2,4,2, ,4,4,4
R_0IGS5RdnM6bQwBf,7/23/2015,7/23/2015, , , , , , , ,21,24,1,4,2, , , , 
R_dm75gQuso0Zgewd,7/23/2015,7/23/2015, , , , , , , ,50,100,2,2,2, , , , 
R_01ZfRJJGAaV92SN,7/23/2015,7/23/2015, , , , , , , ,39,50,2,3,1, , , , 
R_b8T2pkmqQloovUF,7/23/2015,7/23/2015, , , , , , , ,44,69,1,3,2, ,3,3,3
R_5nnyS3a43TrES0J,7/23/2015,7/23/2015, , , , , , , ,40,11,2,2,1, ,8,9,9
R_2gB1S6w6HGTdOND,7/23/2015,7/23/2015, , , , , , , ,25,56,1,3,2, , , , 
R_1AAwljB3zKOR8pL,7/23/2015,7/23/2015, , , , , , , ,48,6,2,17,2, ,4,2,5
R_bHQNNSsTK5RLpUF,7/23/2015,7/23/2015, , , , , , , ,55,28,2,3,2, ,2,2,3
R_daIsAMen6wZG4rX,7/23/2015,7/23/2015, , , , , , , ,33,98,1,4,2, , , , 
R_6s7Bjkdk6h5hYC9,7/23/2015,7/23/2015, , , , , , , ,51,100,2,3,2, , , , 
R_6Xahum9DMxhDsjj,7/23/2015,7/23/2015, , , , , , , ,58,7,3,1,2, ,7,7,7
R_bjhl6tplkNZ8kgR,7/23/2015,7/23/2015, , , , , , , ,60,51,2,2,2, ,4,4,4
R_71b4vxYIdm37wm9,7/23/2015,7/23/2015, , , , , , , ,65,72,2,3,2, ,8,8,8
R_cUqx2IuiyTy3iux,7/23/2015,7/23/2015, , , , , , , ,39,49,2,4,1, ,5,2,7
R_0IhlApHy1rGFNqd,7/23/2015,7/24/2015, , , , , , , ,34,20,1,2,1, ,4,3,3
R_baucnA3EKXDe6FL,7/24/2015,7/24/2015, , , , , , , ,78,81,1,1,2, , , , 
R_9GP9ZyfcXlERZqt,7/24/2015,7/24/2015, , , , , , , ,45,68,1,1,2, , , , 
R_3ErqH8aaHQqBca1,7/24/2015,7/24/2015, , , , , , , ,23,9,1,1,2, ,2,2,2
R_bQ1aUxpAVMwCT5P,7/24/2015,7/24/2015, , , , , , , ,29,69,1,17,1, , , , 
R_aaxmcyuos3TQaYR,7/24/2015,7/24/2015, , , , , , , ,49,65,1,4,2, ,3,3,4
R_4T4H2ZkMTk7CqXz,7/24/2015,7/24/2015, , , , , , , ,56,49,1,3,2, , , , 
R_25JtBe4S3KD4PKl,7/24/2015,7/24/2015, , , , , , , ,68,50,1,17,2, , , , 
R_0HEJZX86Sk45hsN,7/24/2015,7/24/2015, , , , , , , ,30,71,3,2,1, ,6,6,4
R_djbO1yVuyuyMRxz,7/24/2015,7/24/2015, , , , , , , ,57,57,3,2,2, , , , 
R_8vwk8wb7J6QZ6Zv,7/24/2015,7/24/2015, , , , , , , ,50,65,1,2,2, , , , 
R_6zmzMMSmt11OIND,7/24/2015,7/24/2015, , , , , , , ,48,91,1,4,2, ,4,4,4
R_3VgXK4QdSInQriZ,7/24/2015,7/24/2015, , , , , , , ,30,73,3,4,2, , , , 
R_7TDWBxtgz8u8cYZ,7/24/2015,7/24/2015, , , , , , , ,73,32,2,4,1, ,6,7,7
R_1Cfc4QWDh8zsHrf,7/24/2015,7/24/2015, , , , , , , ,50,53,1,4,1, ,3,3,4
R_3JAkSGJP4MDMBhP,7/24/2015,7/24/2015, , , , , , , ,68,54,1,2,2, , , , 
R_egtDtFuaj5Mapxz,7/24/2015,7/24/2015, , , , , , , ,54,38,3,1,2, ,7,7,6
R_bDGT7mySx44wNmZ,7/24/2015,7/24/2015, , , , , , , ,24,33,2,3,2, , , , 
R_6masLdxstKXMii1,7/24/2015,7/24/2015, , , , , , , ,48,64,2,2,2, , , , 
R_5gOQqasMZi5Iktf,7/24/2015,7/24/2015, , , , , , , ,58,69,3,2,1, , , , 
R_efYQeg0pMwJLw45,7/24/2015,7/24/2015, , , , , , , ,80,48,2,2,2, ,3,2,4
R_6MwBaGQkIhzLjmt,7/24/2015,7/24/2015, , , , , , , ,44,67,2,2,2, , , , 
R_37uN3ZhxoqjDF65,7/24/2015,7/24/2015, , , , , , , ,57,48,2,2,2, , , , 
